Freq_Hz,PatternA_learned_NTF_dB,PatternB_learned_NTF_dB
0.00,-39.999491,-39.999076
240.00,-40.000489,-40.000276
480.00,-40.000393,-40.000497
720.00,-39.999411,-39.999585
960.00,-39.999241,-39.998812
1200.00,-40.000382,-40.000743
1440.00,-39.999646,-39.999377
1680.00,-39.999564,-39.999758
1920.00,-40.000248,-40.000321
2160.00,-40.000472,-40.000082
2400.00,-40.000250,-40.000344
2640.00,-39.999662,-40.000138
2880.00,-39.999583,-39.999782
3120.00,-40.000694,-40.000431
3360.00,-39.999746,-39.999837
3600.00,-40.000334,-40.000448
3840.00,-40.000547,-40.000370
4080.00,-39.999860,-39.999508
4320.00,-39.999957,-40.000143
4560.00,-40.000340,-40.000281
4800.00,-40.000610,-40.000726
5040.00,-40.000154,-40.000416
5280.00,-39.999849,-40.000118
5520.00,-39.999890,-39.999387
5760.00,-40.000695,-40.001194
6000.00,-40.000685,-40.000831
6240.00,-40.000106,-39.999984
6480.00,-40.000941,-40.000905
6720.00,-39.999736,-40.000278
6960.00,-40.000217,-40.000140
7200.00,-40.000027,-39.999756
7440.00,-40.000244,-40.000432
7680.00,-40.000586,-40.000366
7920.00,-40.000088,-39.999846
8160.00,-40.000129,-40.000017
8400.00,-40.000304,-40.000694
8640.00,-39.999641,-39.999191
8880.00,-39.999887,-40.000009
9120.00,-39.999846,-39.999564
9360.00,-40.000842,-40.000556
9600.00,-39.999705,-39.999407
9840.00,-39.999984,-39.999264
10080.00,-39.999446,-39.999794
10320.00,-40.000301,-39.999488
10560.00,-39.999319,-39.999868
10800.00,-40.000196,-40.000438
11040.00,-40.000054,-39.999822
11280.00,-39.999877,-40.000365
11520.00,-40.000276,-40.000622
11760.00,-39.999294,-39.999730
12000.00,-40.000837,-40.001044
12240.00,-39.998443,-39.999063
12480.00,-39.999721,-39.999685
12720.00,-39.999890,-40.000635
12960.00,-40.000685,-40.000474
13200.00,-40.000625,-40.000383
13440.00,-40.000246,-39.999908
13680.00,-40.000309,-40.000457
13920.00,-39.999448,-39.999264
14160.00,-39.999734,-39.999541
14400.00,-40.000494,-40.000378
14640.00,-39.999975,-40.000267
14880.00,-40.000529,-40.000425
15120.00,-39.999535,-39.999191
15360.00,-39.999951,-39.999734
15600.00,-40.000147,-39.999757
15840.00,-40.000686,-40.000442
16080.00,-39.999624,-39.999741
16320.00,-40.000176,-39.999941
16560.00,-40.000128,-39.999467
16800.00,-39.999344,-40.000029
17040.00,-40.000682,-40.000674
17280.00,-40.000368,-40.000220
17520.00,-40.000361,-40.000215
17760.00,-39.998032,-39.999069
18000.00,-39.999953,-39.999806
18240.00,-39.998969,-39.999494
18480.00,-39.999752,-39.999908
18720.00,-40.000247,-39.999986
18960.00,-39.999236,-39.999429
19200.00,-40.000052,-39.999523
19440.00,-39.999171,-39.999182
19680.00,-40.000342,-39.999870
19920.00,-40.000253,-40.000104
20160.00,-39.999643,-40.000384
20400.00,-39.998992,-39.998878
20640.00,-39.999603,-39.999412
20880.00,-39.999515,-40.000163
21120.00,-40.000117,-40.000224
21360.00,-39.999283,-39.999113
21600.00,-39.999584,-39.999904
21840.00,-40.000211,-40.000174
22080.00,-39.999913,-39.999799
22320.00,-40.000834,-40.000923
22560.00,-40.001398,-40.001131
22800.00,-39.999500,-39.999139
23040.00,-40.000155,-39.999970
23280.00,-40.000219,-40.000188
23520.00,-40.000026,-39.999905
23760.00,-39.999928,-40.000265
24000.00,-40.000940,-40.000940
